"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","OWC","SCCS.ID","PSF.Cluster","new PSF cases","IBSS Sample","SRS.SEQ","EA.ID","SCCS/EA concordance","New Cases to Code","Coded for hazards (total sample)","EP Used","Place Focus Used","Documents used in Hazards 2022 coding","Expanded beyond PAs (per Hazards 2022)","Potential diachronic case","Diachronic details","New PSF cases (no PAs or EP previously assigned)","Coded for TL","Region","Subsistence Type","...23","...24","...25","...26","...27","...28","DO NOT USE [SCCS.Principal.Authorities (eHRAF document IDs)]","DQ"
"56",167,2,0,20,5,0,2,"Tukano","SQ19",167,"58",1,NA,2,"Se12","Y",1,1,1939,"Village on Caduiari River","5",NA,0,NA,NA,"1","South America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"5",2
"57",182,1.75,6,0,6.5,0,2,"Enxet and Enlhet","SK15",182,NA,NA,1,NA,"Sh09","Y",NA,1,1889,"Band in contact with mission","1",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",2
"58",184,1.6,5,0,6,0,2,"Mapuche","SG04",184,NA,NA,1,NA,"Sg02",NA,NA,1,1950,"Vicinity of Temuco","5, 11, 12, 10, 1",NA,0,NA,NA,"1","South America","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 10, 11, 12",1
"59",185,1.75,0,0,0.75,0.5,2,"Tehuelche","SH05",185,NA,NA,1,NA,"Sg04","Y",NA,1,1870,"Entirety: Equestrian band","2",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"2, 3",1
"60",205,1.5,4,0,6,0,2,"Highland Scots","ES10",NA,"18a",1,NA,NA,NA,NA,1,1,1919,"Isle of Lewis and Harris","5, 15, 3, 8, 4, 1, 25, 2","Caird 1952, Coleman 1984, Geddes 1955, MacKinnon 1977, Moisley 1962, Parman 1973 and 1990, Thompson 1973",1,"Y - PSF (4)",1,"1","Europe","other subsistence combinations",NA,NA,NA,NA,NA,NA,NA,1
"61",208,1.33333333333333,3,0,5,0,2,"Libyan Bedouin","MT09",NA,"16",1,NA,NA,"Cd20",NA,1,1,1920,"Not Specified","3, 9",NA,0,"N - PSF",NA,"1","Middle East","pastoralists",NA,NA,NA,NA,NA,NA,NA,1
"62",209,1,2,0,4,0,2,"Shluh","MW11",NA,"15",1,NA,NA,"Cd05",NA,1,1,1920,"Shluh tribes living in the Grand ì Atlas, Anti-Atlas, and Sous River Valley regions","2",NA,0,"N - PSF",NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,2
"63",220,1,0,20,5,0,2,"Ona","SH04",NA,"54",1,NA,NA,"Sg03",NA,1,1,1880,"Tierra del Fuego","1",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,1
"64",8,2,0,20,1,5,3,"Nyakyusa and Ngonde","FN17",8,NA,NA,1,NA,"Ad06","Y",NA,1,1934,"Age Villages nearMwaya and Masoko","8, 6, 9, 1",NA,1,"Y - Hazards",NA,"1","Africa","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2, 5, 6, 8, 9",2
"65",24,2,0,20,0,5,3,"Songhai","MS20",24,NA,NA,1,NA,"Cb03","Y",NA,1,1940,"Bamba division","1, 2",NA,0,NA,NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2",2
"66",26,1.84615384615385,4,20,4.5,5,3,"Hausa","MS12",26,"10",NA,1,NA,"Cb26",NA,NA,1,1900,"Zazzagawa of Zaria","9, 15, 17, 1",NA,1,"Y - Hazards; PSF (3?)",NA,"1","Middle East","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 9, 15(partial), 17",2
"67",51,1.95238095238095,1,20,1.5,5,3,"Rural Irish","ER06",51,NA,NA,1,NA,"Cg03","Y",NA,1,1932,"Kinvarra Parish, County Clare","16","1",0,NA,NA,"1","Europe","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1, 8",3
"68",52,1.96774193548387,2,20,3.25,12,3,"Saami","EP04",52,"20",NA,1,NA,"Cg04","Y",NA,1,1950,"Konkama, Sweden","18, 23, 10, 9, 17, 2","1",1,"Y - PSF (2)",NA,"1","Europe","pastoralists",NA,NA,NA,NA,NA,NA,"3(partial), 6",3
"69",54,2,1,20,0.25,7,3,"Russians","RF10",54,NA,NA,1,NA,"Ch11","Y",NA,1,1955,"Viritatino village","86",NA,0,NA,NA,"1","Russia","commercial economy",NA,NA,NA,NA,NA,NA,"86, 87(partial), 88",2
"70",60,1.95238095238095,1,20,2,5,3,"Gond","AW32",60,NA,NA,1,NA,"Eg13","Y",NA,1,1938,"Hill Maria","2, 7, 6, 5","1",1,"Y - Hazards",NA,"1","Asia","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 2",3
"71",87,1.84615384615385,5,20,5,7.5,3,"Eastern Toraja","OG11",87,"34",1,NA,NA,"Ic05","Y",1,1,1910,"Bare’e subgroup","2, 3, 4, 5",NA,0,NA,NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"2, 3, 4, 5",1
"72",98,1.91304347826087,3,20,2,6,3,"Trobriands","OL06",98,"38",NA,1,NA,"Ig02","Y",NA,1,1914,"Kiriwina Island","38, 50, 51, 6, 7, 9, 8, 1, 4, 12, 11, 5, 10, 2, 3, 31, 52, 21, 16, 27, 30",NA,0,NA,NA,"1","Oceania","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 21, 27, 30, 31, 36(partial), 38, 50, 51, 52",2
"73",99,2,0,40,3,12,3,"Siwai","ON19",99,NA,NA,1,NA,"Ig01","Y",NA,1,1939,"Southern Bougainville, North Solomons Province, Papua New Guinea","1, 5, 3",NA,0,NA,NA,"1","Oceania","agro-pastoralists",NA,NA,NA,NA,NA,NA,"1, 3, 4, 5",2
"74",118,2,0,20,2,6,3,"Ainu","AB06",118,NA,NA,1,NA,"Ec07",NA,NA,1,1880,"Saru Basin, Hokkaido","2, 11",NA,0,NA,NA,"1","Asia","hunter-gatherers",NA,NA,NA,NA,NA,NA,"2, 3, 6, 11",1
"75",156,2,0,20,0,5,3,"Miskito","SA15",156,NA,NA,1,NA,"Sa09","Y",NA,1,1921,"Cape Gracias a Dias","1",NA,0,NA,NA,"1","South America","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"1",1
"76",168,2,0,20,0,5,3,"Chachi","SD06",168,NA,NA,1,NA,"Sf03","Y",NA,1,1908,"Río Cayapas drainage","3",NA,0,NA,NA,"1","South America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"3",2
"77",186,2,0,20,0,5,3,"Yahgan","SH06",186,NA,NA,1,NA,"Sg01","Y",NA,1,1865,"Not specified","1, 3",NA,0,NA,NA,"1","South America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1(partial), 3(partial)",2
"78",210,1.61538461538462,7,40,5,15.25,3,"Tlingit","NA12",NA,"43",1,NA,NA,"Nb22",NA,1,1,1880,"Chilkat Village, Klukwan, Southeastern Alaska","17, 20, 25, 1","De Laguna 1960 and 1972, Klein 1988, Krause 1956",1,"Y - Hazards, Y - TL",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,NA,3
"79",215,1.95833333333333,1,20,1,6,3,"Zapotec","NU44",NA,"50.b",1,NA,NA,"Nj10",NA,1,1,1940,"Mitla","3, 18",NA,0,NA,NA,"1","North America","horticulturalists",NA,NA,NA,NA,NA,NA,NA,2
"80",217,1.84,1,20,3,6,3,"Lau Fijians","OQ06",NA,"39",1,NA,NA,"Ih04",NA,1,1,1920,"Lau Island","9, 1, 2",NA,1,"Y - TL",NA,"1","Oceania","other subsistence combinations",NA,NA,NA,NA,NA,NA,NA,1
"81",5,NA,NA,NA,NA,NA,NA,"Ovimbundu","FP13",5,NA,NA,NA,15,"Ab05",NA,1,1,1890,"Not specified","1, 9","1",1,"Y - Hazards",NA,"1","Africa","horticulturalists",NA,NA,NA,NA,NA,NA,"1(partial)",NA
"82",22,NA,NA,NA,NA,NA,NA,"Bambara","FA08",22,NA,NA,1,NA,"Ag01",NA,NA,1,1902,"Segou to Bamako on the Niger River","4, 2","1",1,"Y - Hazards",NA,"1","Africa","other subsistence combinations",NA,NA,NA,NA,NA,NA,"2, 4",NA
"83",28,NA,NA,NA,NA,NA,NA,"Azande","FO07",28,"5",1,NA,NA,"Ai03",NA,1,1,1905,"Yambio chiefdom","56, 35, 66, 65, 64, 67, 68, 8, 60","Baxter and Butt 1953, Evans-Pritchard (6 sources)",1,"Y - TL; N - PSF",NA,"1","Africa","horticulturalists",NA,NA,NA,NA,NA,NA,"35, 56, 64, 65, 66, 67, 68",NA
"84",29,NA,NA,NA,NA,NA,NA,"Fur","MQ08",29,NA,NA,1,NA,"Cb17","Y",NA,1,1880,"Jebel Marra","2","1",1,"Y - Hazards",NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"2(partial), 4, 7(partial)",NA
"85",32,NA,NA,NA,NA,NA,NA,"Mao","MP19",32,NA,NA,1,NA,"Ai47","Y",NA,1,1939,"Northern division","1",NA,0,NA,NA,"1","Middle East","horticulturalists",NA,NA,NA,NA,NA,NA,"1, 2(partial)",NA
