"SCCS ID","SOCIETY NAME","OWC","EA-SUB-PER","EA-GA","EA-HU","EA-FI","EA-AH","EA-AG","subsistence_domain","CAL1","CAL1A_scale_of_sub","CAL1B_frequency","CAL1C_gender","practiced","cooperation_present","EA_dependence"
23,"Tallensi","FE11","1,0,0,2,7",1,0,0,2,7,"GA",NA,NA,NA,NA,NA,NA,1
23,"Tallensi","FE11","1,0,0,2,7",1,0,0,2,7,"HU",0,0,0,NA,1,0,0
23,"Tallensi","FE11","1,0,0,2,7",1,0,0,2,7,"FI",NA,NA,NA,NA,0,NA,0
23,"Tallensi","FE11","1,0,0,2,7",1,0,0,2,7,"AH",0,0,0,NA,1,0,2
23,"Tallensi","FE11","1,0,0,2,7",1,0,0,2,7,"AG",0,0,0,NA,1,0,7
19,"Akan","FE12","0,1,2,0,7",0,1,2,0,7,"GA",NA,NA,NA,NA,0,NA,0
19,"Akan","FE12","0,1,2,0,7",0,1,2,0,7,"HU",NA,NA,NA,NA,NA,NA,1
19,"Akan","FE12","0,1,2,0,7",0,1,2,0,7,"FI",NA,NA,NA,NA,NA,NA,2
19,"Akan","FE12","0,1,2,0,7",0,1,2,0,7,"AH",NA,NA,NA,NA,0,NA,0
19,"Akan","FE12","0,1,2,0,7",0,1,2,0,7,"AG",NA,NA,NA,NA,NA,NA,7
16,"Tiv","FF57","1,2,1,1,5",1,2,1,1,5,"GA",NA,NA,NA,NA,NA,NA,1
16,"Tiv","FF57","1,2,1,1,5",1,2,1,1,5,"HU",NA,NA,NA,NA,NA,NA,2
16,"Tiv","FF57","1,2,1,1,5",1,2,1,1,5,"FI",NA,NA,NA,NA,NA,NA,1
16,"Tiv","FF57","1,2,1,1,5",1,2,1,1,5,"AH",1,1,1,3,1,1,1
16,"Tiv","FF57","1,2,1,1,5",1,2,1,1,5,"AG",1,2,3,4,1,1,5
27,"Masa","FI121","0,1,3,1,5",0,1,3,1,5,"GA",NA,NA,NA,NA,NA,NA,0
27,"Masa","FI121","0,1,3,1,5",0,1,3,1,5,"HU",NA,NA,NA,NA,NA,NA,1
27,"Masa","FI121","0,1,3,1,5",0,1,3,1,5,"FI",2,2,2,NA,1,1,3
27,"Masa","FI121","0,1,3,1,5",0,1,3,1,5,"AH",2,2,2,NA,1,1,1
27,"Masa","FI121","0,1,3,1,5",0,1,3,1,5,"AG",1,2.5,2,NA,1,1,5
30,"Nuba","FJ21","0,2,0,2,6",0,2,0,2,6,"GA",NA,NA,NA,NA,NA,NA,0
30,"Nuba","FJ21","0,2,0,2,6",0,2,0,2,6,"HU",1,3,2,5,1,1,2
30,"Nuba","FJ21","0,2,0,2,6",0,2,0,2,6,"FI",NA,NA,NA,NA,0,NA,0
30,"Nuba","FJ21","0,2,0,2,6",0,2,0,2,6,"AH",1,3,2,5,1,1,2
