ID,OWC.x,DQ,allhazards_est_count_30,allhazards_sev_exposure_30,disaster_sev_exposure_30,allhazards_H9a_sev_exposure_30,disaster_h9a_sev_exposure_30,fd3_est_count_30,allhazards_threat_est_count_30,allhazards_onset_avg_30,allhazards_pred_avg_30,normative_est_count_30,normative_onset_avg_30,normative_pred_avg_30,normative_severe_avg_30,normative_freq_30,disaster_threat_est_count_30,disaster_est_count_30,disaster_onset_avg_30,disaster_pred_avg_30,disaster_severe_avg_30,disaster_freq_30,normative_freq_30_IA,disaster_freq_30_IA,normative_est_count_30_IA,disaster_est_count_30_IA,disaster_threat_est_count_30_IA,allhazards_est_count_30_IA,fd3_est_count_30_IA,allhazards_threat_est_count_30_IA,allhazards_sev_exposure_30_IA,disaster_sev_exposure_30_IA,allhazards_H9a_sev_exposure_30_IA,disaster_h9a_sev_exposure_30_IA,SOCIETY NAME,OWC.y,EA-SUB-PER,GA-CAL1-R,GA-CAL1A-R,GA-CAL1B-R,GA-CAL1C-R,HU-CAL1-R,HU-CAL1A-R,HU-CAL1B-R,HU-CAL1C-R,FI-CAL1-R,FI-CAL1A-R,FI-CAL1B-R,FI-CAL1C-R,AH-CAL1-R,AH-CAL1A-R,AH-CAL1B-R,AH-CAL1C-R,AG-CAL1-R,AG-CAL1A-R,AG-CAL1B-R,AG-CAL1C-R,GA_practiced,HU_practiced,FI_practiced,AH_practiced,AG_practiced,GA-CAL1B-R_increasing,HU-CAL1B-R_increasing,FI-CAL1B-R_increasing,AH-CAL1B-R_increasing,AG-CAL1B-R_increasing,GA_pair,HU_pair,FI_pair,AH_pair,AG_pair,GA_ca_gt0,HU_ca_gt0,FI_ca_gt0,AH_ca_gt0,AG_ca_gt0,pair_coverage_count,ca_gt0_count,any_domain_pair,domain,EA_score,CAL1_score,ca_ea_pair_score,pair_domain
58,MA10,2,4,3.25,3,3.25,3,3,NA,1.5,1,NA,NA,NA,NA,NA,NA,3,2,1,3,4,1,4,0,3,0,4,3,0,3.25,3,3.25,3,Basseri,MA10,"0,1,0,8,1",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1.5,4,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,8,2,16,AH
59,AT03,1,6,7,7,5.25,5.25,5,NA,1,2,NA,NA,NA,NA,NA,NA,6,1,2,3.16666666666667,5,1,5,0,6,0,6,5,0,7,7,5.25,5.25,West Punjabi,AT03,"0,0,0,2,8",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,3,0,0,1,1,1,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,8,1,8,AG
60,AW32,3,21,7,2,2,2,1,NA,1.95238095238095,2.9047619047619,20,2,3,2,7,NA,1,1,1,4,3,7,3,20,1,NA,21,1,NA,7,2,2,2,Gond,AW32,"2,1,0,2,5",NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,NA,1,1,NA,1,NA,NA,NA,NA,4,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,2,10,AG
62,AW42,2,4,8,8,8,8,4,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,1,4,5,1,5,0,4,0,4,4,0,8,8,8,8,Santal,AW42,"0,1,1,1,7",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,3,NA,0,NA,NA,1,1,0,NA,NA,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,7,1,7,AG
64,AV07,2,21,20.25,20,20,20,20,NA,1.04761904761905,2.9047619047619,NA,NA,NA,NA,NA,NA,20,1,3,3,7,1,7,0,20,0,21,20,0,20.25,20,20,20,Burusho,AV07,"0,0,0,4,6",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2.5,2,3,0,0,0,NA,1,0,0,0,NA,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
65,RQ02,3,3,4,4,4,4,3,NA,1.33333333333333,1.66666666666667,NA,NA,NA,NA,NA,NA,3,1.33333333333333,1.66666666666667,3.33333333333333,4,NA,4,NA,3,NA,3,3,NA,4,4,4,4,Kazakh,RQ02,"0,1,0,8,1",0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,1,1,NA,NA,0,NA,0,1,1,0,NA,0,NA,NA,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,8,1,8,AH
66,AH01,3,21,6,1,6,1,1,NA,NA,2.9047619047619,20,NA,3,2,7,NA,1,NA,1,3,3,7,3,20,1,NA,21,1,NA,6,1,6,1,Mongolia,AH01,"0,1,0,8,1",0,0,0,0,NA,NA,NA,NA,0,0,0,0,2,3,1,3,0,0,0,0,0,NA,0,1,1,0,NA,0,4,0,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,8,2,16,AH
68,AK05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lepcha,AK05,"0,1,0,3,6",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,2,3,1,3,0,NA,0,NA,1,0,NA,0,NA,4,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
69,AR05,3,4,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,Garo,AR05,"0,0,1,1,8",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,0,0,NA,NA,1,0,0,NA,NA,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,8,1,8,AG
70,AR20,2,1,2,2,2,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,1,2,2,4,3,1,3,0,1,0,1,1,0,2,2,2,2,Mara,AR20,"0,2,1,1,6",0,0,0,0,2,NA,NA,5,1,3,2,5,NA,NA,NA,NA,0,0,0,0,0,1,1,NA,1,0,NA,3,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,6,0,0,AG
71,AP04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,Burmans,AP04,"0,0,2,2,6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,1,2.5,4,0,0,NA,1,1,0,0,NA,0,NA,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
76,AO07,1,20,12.5,6.5,9.5,3.5,2,NA,1,1.8,10,1,2,2.5,6,NA,6,1,1.33333333333333,3.08333333333333,5,6,5,10,6,0,20,2,0,12.5,6.5,9.5,3.5,Central Thai,AO08,"0,0,1,1,8",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,2,NA,1,2,3,3.5,0,0,NA,1,1,0,0,NA,3,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,8,1,8,AG
83,OE05,2,3,4,4,NA,NA,NA,NA,2,1.66666666666667,NA,NA,NA,NA,NA,NA,3,2,1.66666666666667,3.33333333333333,4,1,4,0,3,0,3,0,0,4,4,0,0,Javanese,OE05,"0,0,1,2,7",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,4,5,1,2,2,3,0,0,NA,1,1,0,0,NA,1,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,7,1,7,AG
84,OF07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balinese,OF07,"0,0,1,3,6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,0,0,NA,NA,1,0,0,NA,NA,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
85,OC06,1,4,2.5,2,2,2,2,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,2,1,1,3,4,1,4,0,2,0,4,2,0,2.5,2,2,2,Iban,OC06,"0,0,2,2,6",0,0,0,0,2,3,4,NA,1,3,4,NA,1,2,2,3,1,1,4,3,0,1,1,1,1,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
86,OA08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sama-Bajau,OA08,"0,0,8,0,2",0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,1,1,4,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,FI,8,1,8,FI
